regis_no,fir_capacity,bus_capacity,eco_capacity,aircratft_type,company_id
K914667,16,24,138,Boeing 737-900ER,1191
O686316,16,24,138,Boeing 737-900ER,1191
R228481,16,24,138,Boeing 737-900ER,1191
K536545,16,24,138,Boeing 737-900ER,1191
O629440,16,24,138,Boeing 737-900ER,1191
M495566,16,24,138,Boeing 737-900ER,1191
M546656,16,24,138,Boeing 737-900ER,1191
N765642,16,24,138,Boeing 737-900ER,1191
S776378,16,24,138,Boeing 737-900ER,1191
C822554,16,24,138,Boeing 737-900ER,1191
T515479,16,24,138,Boeing 737-900ER,1191
H513715,16,24,138,Boeing 737-900ER,1191
A462516,16,24,138,Boeing 737-900ER,1191
H997961,16,24,138,Boeing 737-900ER,1191
W310892,16,24,138,Boeing 737-900ER,1191
W331031,16,24,138,Boeing 737-900ER,1191
Q317524,16,24,138,Boeing 737-900ER,1191
H593277,16,24,138,Boeing 737-900ER,1191
N720437,16,24,138,Boeing 737-900ER,1191
M802815,16,24,138,Boeing 737-900ER,1191
P78036,16,24,138,Boeing 737-900ER,1191
W849324,16,24,138,Boeing 737-900ER,1191
B612480,16,24,138,Boeing 737 MAX 9,1191
C40784,16,24,138,Boeing 737 MAX 9,1191
Z356347,16,24,138,Boeing 737 MAX 9,1191
N464762,16,24,138,Boeing 737 MAX 9,1191
Z966350,16,24,138,Boeing 737 MAX 9,1191
Y590768,16,24,138,Boeing 737 MAX 9,1191
L164366,16,24,138,Boeing 737 MAX 9,1191
W160606,16,24,138,Boeing 737 MAX 9,1191
U51858,16,24,138,Boeing 737 MAX 9,1191
A159582,16,24,138,Boeing 737 MAX 9,1191
M473362,16,24,138,Boeing 737 MAX 9,1191
Y756686,16,24,138,Boeing 737 MAX 9,1191
H209664,16,24,138,Boeing 737 MAX 9,1191
X360960,16,24,138,Boeing 737 MAX 9,1191
N581214,16,24,138,Boeing 737 MAX 9,1191
X675668,16,24,138,Boeing 737 MAX 9,1191
X860247,16,24,138,Boeing 737 MAX 9,1191
O975667,16,24,138,Boeing 737 MAX 9,1191
N25126,16,24,138,Boeing 737 MAX 9,1191
V369504,16,24,138,Boeing 737 MAX 9,1191
F921292,16,24,138,Boeing 737 MAX 9,1191
J544980,16,24,138,Boeing 737 MAX 9,1191
D987685,16,24,138,Boeing 737 MAX 9,1191
Y315973,16,24,138,Boeing 737 MAX 9,1191
O689640,0,7,60,De Havilland Canada Dash 8-400,1191
E90021,0,7,60,De Havilland Canada Dash 8-400,1191
E247041,0,7,60,De Havilland Canada Dash 8-400,1191
H191002,0,7,60,De Havilland Canada Dash 8-400,1191
R57586,0,7,60,De Havilland Canada Dash 8-400,1191
J29539,0,7,60,De Havilland Canada Dash 8-400,1191
K758369,0,7,60,De Havilland Canada Dash 8-400,1191
I264006,0,7,60,De Havilland Canada Dash 8-400,1191
M813705,0,7,60,De Havilland Canada Dash 8-400,1191
P997603,0,7,60,De Havilland Canada Dash 8-400,1191
P653217,0,7,60,De Havilland Canada Dash 8-400,1191
J636146,0,7,60,De Havilland Canada Dash 8-400,1191
Q730862,0,7,60,De Havilland Canada Dash 8-400,1191
E339000,0,7,60,De Havilland Canada Dash 8-400,1191
P213667,0,7,60,De Havilland Canada Dash 8-400,1191
I487154,0,7,60,De Havilland Canada Dash 8-400,1191
J143811,0,7,60,De Havilland Canada Dash 8-400,1191
A509576,0,7,60,De Havilland Canada Dash 8-400,1191
L59277,0,7,60,De Havilland Canada Dash 8-400,1191
K96814,0,7,60,De Havilland Canada Dash 8-400,1191
F902043,0,7,60,De Havilland Canada Dash 8-400,1191
A601564,0,7,60,De Havilland Canada Dash 8-400,1191
B100998,0,7,60,De Havilland Canada Dash 8-400,1191
A110985,0,7,60,De Havilland Canada Dash 8-400,1191
H342951,0,7,60,De Havilland Canada Dash 8-400,1191
T654570,0,7,60,De Havilland Canada Dash 8-400,1191
V878326,0,7,60,De Havilland Canada Dash 8-400,1191
V325904,0,7,60,De Havilland Canada Dash 8-400,1191
E937527,0,7,60,De Havilland Canada Dash 8-400,1191
U314902,0,7,60,De Havilland Canada Dash 8-400,1191
Z57761,0,7,60,De Havilland Canada Dash 8-400,1191
H570348,0,7,60,De Havilland Canada Dash 8-400,1191
O31303,0,18,100,Embraer 175,1191
A549978,0,18,100,Embraer 175,1191
E982283,0,18,100,Embraer 175,1191
M437729,0,18,100,Embraer 175,1191
Y181406,0,18,100,Embraer 175,1191
W99542,0,18,100,Embraer 175,1191
N682378,0,18,100,Embraer 175,1191
N369941,0,18,100,Embraer 175,1191
R181046,0,18,100,Embraer 175,1191
V830203,0,18,100,Embraer 175,1191
Z852568,0,18,100,Embraer 175,1191
M288562,0,18,100,Embraer 175,1191
F492419,0,18,100,Embraer 175,1191
P622860,0,18,100,Embraer 175,1191
F112596,0,18,100,Embraer 175,1191
Q921170,0,18,100,Embraer 175,1191
K848502,0,18,100,Embraer 175,1191
Z859252,0,18,100,Embraer 175,1191
B468579,0,18,100,Embraer 175,1191
G684716,0,18,100,Embraer 175,1191
Q744822,0,18,100,Embraer 175,1191
Y9475,0,18,100,Embraer 175,1191
F251674,0,18,100,Embraer 175,1191
H838471,0,18,100,Embraer 175,1191
D499734,0,18,100,Embraer 175,1191
B816458,0,18,100,Embraer 175,1191
F182423,0,18,100,Embraer 175,1191
O532523,0,18,100,Embraer 175,1191
P115580,0,18,100,Embraer 175,1191
T923452,0,18,100,Embraer 175,1191
F750580,0,18,100,Embraer 175,1191
E104918,0,18,100,Embraer 175,1191
U356760,0,18,100,Embraer 175,1191
O930515,0,18,100,Embraer 175,1191
B994681,0,18,100,Embraer 175,1191
S400118,0,18,100,Embraer 175,1191
J222395,0,18,100,Embraer 175,1191
I398168,0,18,100,Embraer 175,1191
R297500,0,18,100,Embraer 175,1191
S166898,0,18,100,Embraer 175,1191
K194031,0,18,100,Embraer 175,1191
I666130,0,18,100,Embraer 175,1191
V774964,0,18,100,Embraer 175,1191
U86961,0,18,100,Embraer 175,1191
N616209,0,18,100,Embraer 175,1191
K345797,0,18,100,Embraer 175,1191
M864393,0,18,100,Embraer 175,1191
N900392,0,18,100,Embraer 175,1191
G890934,0,18,100,Embraer 175,1191
M37104,0,18,100,Embraer 175,1191
N966941,0,18,100,Embraer 175,1191
Q569801,0,18,100,Embraer 175,1191
B547930,0,18,100,Embraer 175,1191
V75529,0,18,100,Embraer 175,1191
I623995,0,18,100,Embraer 175,1191
C415381,0,18,100,Embraer 175,1191
S360747,0,18,100,Embraer 175,1191
K264631,0,18,100,Embraer 175,1191
F655078,0,18,100,Embraer 175,1191
I368830,0,18,100,Embraer 175,1191
T240150,0,18,100,Embraer 175,1191
A623480,0,18,100,Embraer 175,1191
X817226,0,18,100,Embraer 175,1191
O814695,0,18,100,Embraer 175,1191
A176562,0,18,100,Embraer 175,1191
X736050,0,18,100,Embraer 175,1191
N538983,0,18,100,Embraer 175,1191
V222807,0,18,100,Embraer 175,1191
E395425,0,18,100,Embraer 175,1191
Y965579,0,18,100,Embraer 175,1191
E494512,0,18,100,Embraer 175,1191
O878682,0,18,100,Embraer 175,1191
M525206,12,36,78,Airbus A319-100,141119
A137753,12,36,78,Airbus A319-100,141119
X71052,12,36,78,Airbus A319-100,141119
U907783,12,36,78,Airbus A319-100,141119
B320550,12,36,78,Airbus A319-100,141119
S425692,12,36,78,Airbus A319-100,141119
D235732,12,36,78,Airbus A319-100,141119
K444359,12,36,78,Airbus A319-100,141119
C154189,12,36,78,Airbus A319-100,141119
U202810,12,36,78,Airbus A319-100,141119
T688765,12,36,78,Airbus A319-100,141119
P974760,12,36,78,Airbus A319-100,141119
C443820,12,36,78,Airbus A319-100,141119
B109360,12,36,78,Airbus A319-100,141119
B93250,12,36,78,Airbus A319-100,141119
N308071,12,36,78,Airbus A319-100,141119
O113112,12,36,78,Airbus A319-100,141119
D699307,12,36,78,Airbus A319-100,141119
U596784,12,36,78,Airbus A319-100,141119
D756489,12,36,78,Airbus A319-100,141119
T975881,12,36,78,Airbus A319-100,141119
B60821,12,36,78,Airbus A319-100,141119
L725263,12,36,78,Airbus A319-100,141119
C872354,12,36,78,Airbus A319-100,141119
B929232,12,36,78,Airbus A319-100,141119
M683032,12,36,78,Airbus A319-100,141119
V895849,12,36,78,Airbus A319-100,141119
J386676,12,36,78,Airbus A319-100,141119
X168816,12,36,78,Airbus A319-100,141119
G507385,12,36,78,Airbus A319-100,141119
N821933,12,36,78,Airbus A319-100,141119
V947030,12,42,96,Airbus A320-200,141119
M85776,12,42,96,Airbus A320-200,141119
H432418,12,42,96,Airbus A320-200,141119
J472801,12,42,96,Airbus A320-200,141119
M68361,12,42,96,Airbus A320-200,141119
J963416,12,42,96,Airbus A320-200,141119
X622449,12,42,96,Airbus A320-200,141119
T522799,12,42,96,Airbus A320-200,141119
O308565,12,42,96,Airbus A320-200,141119
D341533,12,42,96,Airbus A320-200,141119
P844723,12,42,96,Airbus A320-200,141119
R644919,12,42,96,Airbus A320-200,141119
N674413,12,42,96,Airbus A320-200,141119
P182485,12,42,96,Airbus A320-200,141119
K436514,12,42,96,Airbus A320-200,141119
J513907,12,42,96,Airbus A320-200,141119
Y153467,12,42,96,Airbus A320-200,141119
V475348,12,42,96,Airbus A320-200,141119
T570687,12,42,96,Airbus A320-200,141119
Q604690,12,42,96,Airbus A320-200,141119
K160444,12,42,96,Airbus A320-200,141119
E314370,12,42,96,Airbus A320-200,141119
Y660723,12,42,96,Airbus A320-200,141119
K563625,12,42,96,Airbus A320-200,141119
D506229,12,42,96,Airbus A320-200,141119
O55645,12,42,96,Airbus A320-200,141119
G766495,12,42,96,Airbus A320-200,141119
Z88945,12,42,96,Airbus A320-200,141119
J963514,12,42,96,Airbus A320-200,141119
B295065,12,42,96,Airbus A320-200,141119
T700945,12,42,96,Airbus A320-200,141119
R191511,12,42,96,Airbus A320-200,141119
E100288,12,42,96,Airbus A320-200,141119
H596032,12,42,96,Airbus A320-200,141119
D322479,12,42,96,Airbus A320-200,141119
S513670,12,42,96,Airbus A320-200,141119
F531086,12,42,96,Airbus A320-200,141119
W937552,12,42,96,Airbus A320-200,141119
U17773,12,42,96,Airbus A320-200,141119
M152330,12,42,96,Airbus A320-200,141119
G624958,12,42,96,Airbus A320-200,141119
U288485,12,42,96,Airbus A320-200,141119
B388461,12,42,96,Airbus A320-200,141119
E267843,12,42,96,Airbus A320-200,141119
E536127,12,42,96,Airbus A320-200,141119
T198701,12,42,96,Airbus A320-200,141119
K369782,12,42,96,Airbus A320-200,141119
I770579,12,42,96,Airbus A320-200,141119
Q515606,12,42,96,Airbus A320-200,141119
D80035,12,42,96,Airbus A320-200,141119
N407373,12,42,96,Airbus A320-200,141119
D960448,12,42,96,Airbus A320-200,141119
K205193,12,42,96,Airbus A320-200,141119
M105101,12,42,96,Airbus A320-200,141119
H846499,12,42,96,Airbus A320-200,141119
Z198108,12,42,96,Airbus A320-200,141119
R110414,12,42,96,Airbus A320-200,141119
A614063,12,42,96,Airbus A320-200,141119
E924138,12,42,96,Airbus A320-200,141119
O731896,12,42,96,Airbus A320-200,141119
Y987803,12,42,96,Airbus A320-200,141119
C421540,12,42,96,Airbus A320-200,141119
D170724,12,42,96,Airbus A320-200,141119
E229178,12,42,96,Airbus A320-200,141119
W997119,12,42,96,Airbus A320neo,141119
M796283,12,42,96,Airbus A320neo,141119
P478092,12,42,96,Airbus A320neo,141119
X627960,12,42,96,Airbus A320neo,141119
E135609,12,42,96,Airbus A320neo,141119
U1455,12,42,96,Airbus A320neo,141119
Y65007,12,42,96,Airbus A320neo,141119
U68694,12,42,96,Airbus A320neo,141119
N540859,12,42,96,Airbus A320neo,141119
P892210,12,42,96,Airbus A320neo,141119
U683934,12,42,96,Airbus A320neo,141119
Q422848,12,42,96,Airbus A320neo,141119
S348406,12,42,96,Airbus A320neo,141119
X107837,12,42,96,Airbus A320neo,141119
N234293,12,42,96,Airbus A320neo,141119
A417665,12,42,96,Airbus A320neo,141119
I275394,12,42,96,Airbus A320neo,141119
T906779,12,42,96,Airbus A320neo,141119
Q684710,12,42,96,Airbus A320neo,141119
X940359,12,42,96,Airbus A320neo,141119
M975178,12,42,96,Airbus A320neo,141119
Y848092,12,42,96,Airbus A320neo,141119
N955397,12,42,96,Airbus A320neo,141119
O865681,12,42,96,Airbus A320neo,141119
A307109,12,42,96,Airbus A320neo,141119
C856757,12,42,96,Airbus A320neo,141119
T474647,12,42,96,Airbus A320neo,141119
Q508123,12,42,96,Airbus A320neo,141119
J572023,12,42,96,Airbus A320neo,141119
I352916,12,42,96,Airbus A320neo,141119
Y973813,12,42,96,Airbus A320neo,141119
E366220,12,42,96,Airbus A320neo,141119
C192015,12,42,96,Airbus A320neo,141119
G384138,12,42,96,Airbus A320neo,141119
A9841,12,42,96,Airbus A320neo,141119
Q297884,12,42,96,Airbus A320neo,141119
S825878,12,42,96,Airbus A320neo,141119
G911926,12,42,96,Airbus A320neo,141119
L847197,12,42,96,Airbus A320neo,141119
X373142,12,42,96,Airbus A320neo,141119
D53256,12,42,96,Airbus A320neo,141119
H104688,12,42,96,Airbus A320neo,141119
X988771,12,42,96,Airbus A320neo,141119
T888279,12,42,96,Airbus A320neo,141119
W322320,12,42,96,Airbus A320neo,141119
B836996,12,42,96,Airbus A320neo,141119
J610344,12,42,96,Airbus A320neo,141119
K874427,12,42,96,Airbus A320neo,141119
A395711,12,42,96,Airbus A320neo,141119
C395723,12,42,96,Airbus A320neo,141119
V206461,12,42,96,Airbus A320neo,141119
J547109,12,42,96,Airbus A320neo,141119
U36394,12,42,96,Airbus A320neo,141119
K382368,12,42,96,Airbus A320neo,141119
A826607,12,42,96,Airbus A320neo,141119
C296124,16,15,156,Airbus A321-200,141119
B630622,16,15,156,Airbus A321-200,141119
B353303,16,15,156,Airbus A321-200,141119
Y927356,16,15,156,Airbus A321-200,141119
G96843,16,15,156,Airbus A321-200,141119
V207027,16,15,156,Airbus A321-200,141119
A663532,16,15,156,Airbus A321-200,141119
M442720,16,15,156,Airbus A321-200,141119
Y49616,16,15,156,Airbus A321-200,141119
R117133,16,15,156,Airbus A321-200,141119
T486305,16,15,156,Airbus A321-200,141119
W382735,16,15,156,Airbus A321-200,141119
Z292146,16,15,156,Airbus A321-200,141119
K802437,16,15,156,Airbus A321-200,141119
D400671,16,15,156,Airbus A321-200,141119
Z324969,16,15,156,Airbus A321-200,141119
H333572,16,15,156,Airbus A321-200,141119
N796719,16,15,156,Airbus A321-200,141119
F342823,16,15,156,Airbus A321-200,141119
D886782,16,15,156,Airbus A321-200,141119
Q191783,16,15,156,Airbus A321-200,141119
R968546,16,15,156,Airbus A321-200,141119
R819107,16,15,156,Airbus A321-200,141119
N427382,16,15,156,Airbus A321-200,141119
T724092,16,15,156,Airbus A321-200,141119
U823319,16,15,156,Airbus A321-200,141119
B853969,16,15,156,Airbus A321-200,141119
J118871,16,15,156,Airbus A321-200,141119
I709460,16,15,156,Airbus A321-200,141119
L481056,16,15,156,Airbus A321-200,141119
V281335,12,36,78,Airbus A319-100,1125
E790732,12,36,78,Airbus A319-100,1125
D98092,12,36,78,Airbus A319-100,1125
N233754,12,36,78,Airbus A319-100,1125
Z233378,12,36,78,Airbus A319-100,1125
B519545,12,36,78,Airbus A319-100,1125
H743174,12,36,78,Airbus A319-100,1125
X655219,12,36,78,Airbus A319-100,1125
G952290,12,36,78,Airbus A319-100,1125
Y740157,12,36,78,Airbus A319-100,1125
R621641,12,36,78,Airbus A319-100,1125
K578435,12,36,78,Airbus A319-100,1125
A998414,12,36,78,Airbus A319-100,1125
P362094,12,36,78,Airbus A319-100,1125
M661105,12,36,78,Airbus A319-100,1125
G396743,12,36,78,Airbus A319-100,1125
V380121,12,36,78,Airbus A319-100,1125
L387411,12,36,78,Airbus A319-100,1125
O556961,12,36,78,Airbus A319-100,1125
V279431,12,36,78,Airbus A319-100,1125
J627813,12,36,78,Airbus A319-100,1125
R562096,12,36,78,Airbus A319-100,1125
I546819,12,36,78,Airbus A319-100,1125
U540794,12,36,78,Airbus A319-100,1125
V586419,12,36,78,Airbus A319-100,1125
T438979,12,36,78,Airbus A319-100,1125
U170501,12,36,78,Airbus A319-100,1125
I698602,12,36,78,Airbus A319-100,1125
Q567805,12,36,78,Airbus A319-100,1125
E230478,12,36,78,Airbus A319-100,1125
F688354,12,36,78,Airbus A319-100,1125
Z450035,12,36,78,Airbus A319-100,1125
E585971,12,36,78,Airbus A319-100,1125
P367041,12,36,78,Airbus A319-100,1125
X188184,12,36,78,Airbus A319-100,1125
R688835,12,42,96,Airbus A320-200,1125
T54645,12,42,96,Airbus A320-200,1125
B808306,12,42,96,Airbus A320-200,1125
S94186,12,42,96,Airbus A320-200,1125
X40129,12,42,96,Airbus A320-200,1125
K919005,12,42,96,Airbus A320-200,1125
Z944077,12,42,96,Airbus A320-200,1125
Z724102,12,42,96,Airbus A320-200,1125
M93094,12,42,96,Airbus A320-200,1125
D683662,12,42,96,Airbus A320-200,1125
G172731,12,42,96,Airbus A320-200,1125
L450990,12,42,96,Airbus A320-200,1125
W260466,12,42,96,Airbus A320-200,1125
S467074,12,42,96,Airbus A320-200,1125
V85914,12,42,96,Airbus A320-200,1125
Y566917,12,42,96,Airbus A320-200,1125
S183492,12,42,96,Airbus A320-200,1125
Z410833,12,42,96,Airbus A320-200,1125
V646821,12,42,96,Airbus A320-200,1125
V201614,12,42,96,Airbus A320-200,1125
H606908,12,42,96,Airbus A320-200,1125
P887522,12,42,96,Airbus A320-200,1125
Y129413,12,42,96,Airbus A320-200,1125
W380300,12,42,96,Airbus A320-200,1125
L18554,12,42,96,Airbus A320-200,1125
E238337,12,42,96,Airbus A320-200,1125
R858774,12,42,96,Airbus A320-200,1125
U520506,12,42,96,Airbus A320-200,1125
F23511,12,42,96,Airbus A320-200,1125
D58712,12,42,96,Airbus A320-200,1125
W558202,12,42,96,Airbus A320-200,1125
M967741,12,42,96,Airbus A320-200,1125
I195812,12,42,96,Airbus A320-200,1125
M647967,12,42,96,Airbus A320-200,1125
J275789,12,42,96,Airbus A320-200,1125
Y582602,12,42,96,Airbus A320-200,1125
B501691,12,42,96,Airbus A320-200,1125
V690895,12,42,96,Airbus A320-200,1125
W677931,12,42,96,Airbus A320-200,1125
Z298558,12,42,96,Airbus A320-200,1125
I69198,12,42,96,Airbus A320-200,1125
X99136,12,42,96,Airbus A320-200,1125
U218729,12,42,96,Airbus A320-200,1125
O244874,12,42,96,Airbus A320-200,1125
C679683,12,42,96,Airbus A320-200,1125
G350398,12,42,96,Airbus A320-200,1125
N840309,12,42,96,Airbus A320-200,1125
H988795,12,42,96,Airbus A320-200,1125
K419287,12,42,96,Airbus A320-200,1125
L438450,12,42,96,Airbus A320-200,1125
M347581,12,42,96,Airbus A320-200,1125
X100340,12,42,96,Airbus A320-200,1125
W162138,12,42,96,Airbus A320-200,1125
S681372,12,42,96,Airbus A320-200,1125
T121637,12,42,96,Airbus A320-200,1125
I57044,12,42,96,Airbus A320-200,1125
L242488,12,42,96,Airbus A320-200,1125
P20728,12,42,96,Airbus A320-200,1125
M504272,12,42,96,Airbus A320-200,1125
R519213,12,42,96,Airbus A320-200,1125
F481163,12,42,96,Airbus A320-200,1125
I468800,12,42,96,Airbus A320-200,1125
F284690,12,42,96,Airbus A320-200,1125
U618963,12,42,96,Airbus A320-200,1125
R249798,12,42,96,Airbus A320-200,1125
S332327,12,42,96,Airbus A320-200,1125
J779507,12,42,96,Airbus A320-200,1125
X199666,12,42,96,Airbus A320-200,1125
J980061,12,42,96,Airbus A320-200,1125
E564029,12,42,96,Airbus A320-200,1125
S128961,12,42,96,Airbus A320-200,1125
P587860,12,42,96,Airbus A320-200,1125
M227595,12,42,96,Airbus A320-200,1125
N473647,12,42,96,Airbus A320-200,1125
C554220,12,42,96,Airbus A320-200,1125
H436310,12,42,96,Airbus A320-200,1125
M27785,12,42,96,Airbus A320-200,1125
M489500,12,42,96,Airbus A320-200,1125
O283005,12,42,96,Airbus A320-200,1125
H976737,12,42,96,Airbus A320-200,1125
S416440,12,42,96,Airbus A320-200,1125
P871177,12,42,96,Airbus A320-200,1125
V616077,12,42,96,Airbus A320-200,1125
X452770,12,42,96,Airbus A320-200,1125
K637006,12,42,96,Airbus A320-200,1125
W629276,12,42,96,Airbus A320-200,1125
K703258,12,42,96,Airbus A320-200,1125
K296588,16,24,138,Boeing 737-700,19324
N816624,16,24,138,Boeing 737-700,19324
I954352,16,24,138,Boeing 737-800,19324
V653994,16,24,138,Boeing 737-800,19324
Q155549,16,24,138,Boeing 737-800,19324
H898116,16,24,138,Boeing 737-800,19324
K814712,16,24,138,Boeing 737-800,19324
I409267,16,24,138,Boeing 737-800,19324
H585499,16,24,138,Boeing 737-800,19324
V312101,16,24,138,Boeing 737-800,19324
A31323,16,24,138,Boeing 737-800,19324
K431106,16,24,138,Boeing 737-800,19324
Y274457,16,24,138,Boeing 737-800,19324
A805990,16,24,138,Boeing 737-800,19324
D322800,16,24,138,Boeing 737-800,19324
F9556,16,24,138,Boeing 737-800,19324
W377546,16,24,138,Boeing 737-800,19324
Q787186,16,24,138,Boeing 737-800,19324
W959933,16,24,138,Boeing 737-800,19324
T961515,16,24,138,Boeing 737-800,19324
K234066,16,24,138,Boeing 737-800,19324
Q82438,16,24,138,Boeing 737-800,19324
I363299,16,24,138,Boeing 737-800,19324
B684997,16,24,138,Boeing 737-800,19324
T327517,16,24,138,Boeing 737-800,19324
W728286,16,24,138,Boeing 737-800,19324
C983193,16,24,138,Boeing 737-800,19324
K360786,16,24,138,Boeing 737-800,19324
H742481,16,24,138,Boeing 737-800,19324
U550658,16,24,138,Boeing 737-800,19324
L4708,16,24,138,Boeing 737-800,19324
U747488,16,24,138,Boeing 737-800,19324
C780732,16,24,138,Boeing 737-800,19324
M421734,16,24,138,Boeing 737-800,19324
N68510,16,24,138,Boeing 737-800,19324
D913241,16,24,138,Boeing 737-800,19324
P626332,16,24,138,Boeing 737-800,19324
U798888,16,24,138,Boeing 737-800,19324
Y997039,16,24,138,Boeing 737-800,19324
V862642,16,24,138,Boeing 737-800,19324
T164942,16,24,138,Boeing 737-800,19324
E82581,16,24,138,Boeing 737-800,19324
K334149,16,24,138,Boeing 737-800,19324
B180937,12,36,78,Airbus A319-100,1112
J170492,12,36,78,Airbus A319-100,1112
W53703,12,36,78,Airbus A319-100,1112
V120265,12,36,78,Airbus A319-100,1112
R89809,12,36,78,Airbus A319-100,1112
K861028,12,36,78,Airbus A319-100,1112
B897854,12,36,78,Airbus A319-100,1112
Z38049,12,36,78,Airbus A319-100,1112
G92655,12,36,78,Airbus A319-100,1112
B805397,12,36,78,Airbus A319-100,1112
R686757,12,36,78,Airbus A319-100,1112
H313880,12,36,78,Airbus A319-100,1112
P737914,12,36,78,Airbus A319-100,1112
C178194,12,36,78,Airbus A319-100,1112
G736055,12,36,78,Airbus A319-100,1112
O724617,12,36,78,Airbus A319-100,1112
A686262,12,36,78,Airbus A319-100,1112
B747909,12,36,78,Airbus A319-100,1112
S938114,12,36,78,Airbus A319-100,1112
W142969,12,36,78,Airbus A319-100,1112
C336954,12,36,78,Airbus A319-100,1112
A500366,12,36,78,Airbus A319-100,1112
N834327,12,36,78,Airbus A319-100,1112
Y899642,12,36,78,Airbus A319-100,1112
R875218,12,36,78,Airbus A319-100,1112
P645861,12,36,78,Airbus A319-100,1112
C476562,12,36,78,Airbus A319-100,1112
W40277,12,36,78,Airbus A319-100,1112
V171019,12,36,78,Airbus A319-100,1112
B945982,12,36,78,Airbus A319-100,1112
C705437,12,36,78,Airbus A319-100,1112
B530640,12,36,78,Airbus A319-100,1112
F630289,12,36,78,Airbus A319-100,1112
N284737,12,36,78,Airbus A319-100,1112
I877053,12,36,78,Airbus A319-100,1112
G897602,12,36,78,Airbus A319-100,1112
T950819,12,36,78,Airbus A319-100,1112
I10056,12,36,78,Airbus A319-100,1112
H926334,12,36,78,Airbus A319-100,1112
F728527,12,36,78,Airbus A319-100,1112
V20225,12,36,78,Airbus A319-100,1112
A15709,12,36,78,Airbus A319-100,1112
J841297,12,36,78,Airbus A319-100,1112
D425524,12,36,78,Airbus A319-100,1112
J149729,12,36,78,Airbus A319-100,1112
Q418752,12,36,78,Airbus A319-100,1112
B160070,12,36,78,Airbus A319-100,1112
E639021,12,36,78,Airbus A319-100,1112
L469332,12,36,78,Airbus A319-100,1112
Y556045,12,36,78,Airbus A319-100,1112
X379465,12,36,78,Airbus A319-100,1112
S851207,12,36,78,Airbus A319-100,1112
E889619,12,36,78,Airbus A319-100,1112
K137668,12,36,78,Airbus A319-100,1112
U176368,12,36,78,Airbus A319-100,1112
B221096,12,36,78,Airbus A319-100,1112
Y353974,12,36,78,Airbus A319-100,1112
C56036,12,36,78,Airbus A319-100,1112
U434314,12,36,78,Airbus A319-100,1112
S449543,12,36,78,Airbus A319-100,1112
H510904,12,36,78,Airbus A319-100,1112
I529663,12,36,78,Airbus A319-100,1112
T771963,12,36,78,Airbus A319-100,1112
V85323,12,36,78,Airbus A319-100,1112
B187038,12,36,78,Airbus A319-100,1112
D533163,12,36,78,Airbus A319-100,1112
B622196,12,36,78,Airbus A319-100,1112
S300949,12,36,78,Airbus A319-100,1112
X280379,12,36,78,Airbus A319-100,1112
W207246,12,36,78,Airbus A319-100,1112
I53345,12,36,78,Airbus A319-100,1112
X535306,12,36,78,Airbus A319-100,1112
Y938340,12,36,78,Airbus A319-100,1112
T415875,12,36,78,Airbus A319-100,1112
P912244,12,36,78,Airbus A319-100,1112
M370063,12,36,78,Airbus A319-100,1112
N129443,12,36,78,Airbus A319-100,1112
X803579,12,36,78,Airbus A319-100,1112
F249959,12,36,78,Airbus A319-100,1112
M530414,12,36,78,Airbus A319-100,1112
Y427884,12,36,78,Airbus A319-100,1112
X529912,12,36,78,Airbus A319-100,1112
T996551,12,36,78,Airbus A319-100,1112
H57646,12,36,78,Airbus A319-100,1112
Y706115,12,36,78,Airbus A319-100,1112
Q173396,12,36,78,Airbus A319-100,1112
I928959,12,36,78,Airbus A319-100,1112
P305044,12,36,78,Airbus A319-100,1112
A445521,12,36,78,Airbus A319-100,1112
B87659,12,36,78,Airbus A319-100,1112
K777307,12,36,78,Airbus A319-100,1112
F688025,12,36,78,Airbus A319-100,1112
Z755159,12,36,78,Airbus A319-100,1112
J565731,12,36,78,Airbus A319-100,1112
M272866,12,36,78,Airbus A319-100,1112
N32281,12,36,78,Airbus A319-100,1112
T687834,12,36,78,Airbus A319-100,1112
U531915,12,36,78,Airbus A319-100,1112
S550417,12,36,78,Airbus A319-100,1112
O565261,12,36,78,Airbus A319-100,1112
P708135,12,36,78,Airbus A319-100,1112
Y323497,12,36,78,Airbus A319-100,1112
N407911,12,36,78,Airbus A319-100,1112
H979156,12,36,78,Airbus A319-100,1112
U506416,12,36,78,Airbus A319-100,1112
R937963,12,36,78,Airbus A319-100,1112
J231902,12,36,78,Airbus A319-100,1112
X632366,12,36,78,Airbus A319-100,1112
T280229,12,36,78,Airbus A319-100,1112
U911246,12,36,78,Airbus A319-100,1112
O572561,12,36,78,Airbus A319-100,1112
Z836650,12,36,78,Airbus A319-100,1112
D367699,12,36,78,Airbus A319-100,1112
A529952,12,36,78,Airbus A319-100,1112
C249488,12,36,78,Airbus A319-100,1112
P993663,12,36,78,Airbus A319-100,1112
O847754,12,36,78,Airbus A319-100,1112
J622646,12,36,78,Airbus A319-100,1112
Z759520,12,36,78,Airbus A319-100,1112
Y656582,12,36,78,Airbus A319-100,1112
C323620,12,36,78,Airbus A319-100,1112
T833998,12,36,78,Airbus A319-100,1112
J503254,12,36,78,Airbus A319-100,1112
S786091,12,36,78,Airbus A319-100,1112
U896169,12,36,78,Airbus A319-100,1112
M99063,12,36,78,Airbus A319-100,1112
